Object;Region;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH7;everywhere;H_SIGMA_s133.900_SparseH7_error (m);-0.04627260938286781;0.027460545301437378;0.0036975947681885065;0.012889397198664486;-0.012515485659241675;-0.0013855964876711368;0.0010257625719532369;0.003698118776082993;0.00579074677079916;0.006877476489171385;0.009201186522841453;0.012694014701992275;0.01782201752066613
SparseH7;everywhere;H_StructLab_Axis3.900_SparseH7_error (m);-0.0042449128814041615;0.004331131931394339;0.00014066193858177918;0.0010679123512340044;-0.0009186802199110389;-0.0006675083306618035;-0.0003805039974395186;-0.000010589149496809063;0.00019140219956170768;0.0004631821298971772;0.000632398878224194;0.0008750133332796398;0.0012905846815556288
SparseH7;everywhere;H_StructLab_Basic3.900_SparseH7_error (m);-0.0037223463878035545;0.0019423329504206777;0.00010726935209512182;0.0009018162907959382;-0.0009261263650842011;-0.00047660079144407064;-0.00021062178420834244;-0.00008262780211225607;0.0002461751864757389;0.0003906148718670011;0.0005403492017649113;0.0007540723308920861;0.0011343070538714529
SparseH7;everywhere;H_SurfE_MQ0.176_SparseH7_error (m);-0.001226164516992867;0.002141055418178439;0.00006073555429405163;0.0004174699197359114;-0.00031600364018231626;-0.00018279563228134065;-0.00006266295531531797;0.000014342578560899722;0.00006285664858296514;0.00009663665769039653;0.00012271715240785852;0.00021036918769823393;0.0005258552962914114
SparseH7;everywhere;H_SurfE_R30.466_SparseH7_error (m);-0.00048154874821193516;0.0021943356841802597;0.00000372405112214979;0.0004055223310197169;-0.0002982005593366921;-0.00021198255853960288;-0.0001742959429975599;-0.0001315456291195005;-0.00009957553265849128;-0.00004329775620135479;-0.000006695536649203873;0.00013941368670202794;0.0004097916709724823
SparseH9;everywhere;H_GemPy0.156_SparseH9_error (m);-0.05665155500173569;0.054155997931957245;0.0001546784860693151;0.01424177598799041;-0.008827690873295067;-0.00584343005903065;-0.003979871701449156;-0.002787093515507876;-0.001654529885854572;-0.00009557814482832418;0.0035986017668619688;0.005227415310218931;0.01172937657684089
SparseH9;everywhere;H_LoopStructuralFDI5.200_SparseH9_error (m);-0.7551013827323914;0.035488005727529526;-0.1513122897216211;0.2252033951021423;-0.575736653804779;-0.36364469230175;-0.07951928824186327;-0.0660970076918602;-0.05723416246473789;-0.04124815091490748;-0.028149359673261643;-0.009355033561587324;0.009182246122509247
SparseH9;everywhere;H_LoopStructuralPLI5.200_SparseH9_error (m);-0.4257012903690338;0.09157928079366684;-0.059851742612712165;0.1070990272668053;-0.261575673520565;-0.06332481056451797;-0.03756214268505573;-0.02934759724885225;-0.022345149889588356;-0.014669738989323378;-0.009274874348193424;-0.0031686044530943036;0.005134612461552034
SparseH9;everywhere;H_MSSSparse_81x5x225.200_SparseH9_error (m);-0.03867391496896744;0.02300911769270897;0.009983104018222852;0.012986357196773124;-0.013550602761097241;0.009962735790759325;0.011954759899526834;0.013239990361034872;0.014680897817015648;0.015521508920937776;0.01602533422410488;0.01672400366514921;0.01804013382643461
SparseH9;everywhere;H_SIGMA_s105.200_SparseH9_error (m);-0.10493596643209457;0.2362089902162552;0.0025179049735015724;0.05792739740113803;-0.06452009417116641;-0.007138766534626482;-0.004152582632377744;-0.002825277228839695;-0.0018101056339219213;-0.00012329593882896055;0.0015131187275983355;0.004905796796083453;0.0326174335554243
SparseH9;everywhere;H_SIGMA_s125.200_SparseH9_error (m);-0.1005680039525032;0.16124171018600464;-0.0027955647025616295;0.040166338621642025;-0.05182826779782772;-0.00987633680924773;-0.006397685874253512;-0.0029885665047913786;-0.0006983045896049589;0.00028155977779533684;0.0018635518965311284;0.004007623763754967;0.033489661104977225
SparseH9;everywhere;H_SIGMA_s135.200_SparseH9_error (m);-0.1264425814151764;0.2841598093509674;0.0016840751662433224;0.07237435624195823;-0.09483031183481216;-0.009181118384003636;-0.005227099638432264;-0.004292217176407575;-0.0022336922120302916;-0.00042689146648626844;0.0018310158280655693;0.006502538872882725;0.040566877555102215
SparseH9;everywhere;H_StructLab_Axis5.200_SparseH9_error (m);-0.007649674080312252;0.04760034754872322;0.0006024036338961499;0.0072541014646601044;-0.003253191569820045;-0.0008377503312658516;-0.0006195944268256427;-0.0002485653691110199;0.000025021729015861638;0.0001376110441924536;0.0004746359831187874;0.0007562212063930932;0.0021876228041946915
SparseH9;everywhere;H_StructLab_Basic5.200_SparseH9_error (m);-0.007158563006669283;0.003623375203460455;-0.00038605947156611364;0.0018947247568401045;-0.002774133859202265;-0.0013042366947047406;-0.00043557855242397657;-0.0002617433812702074;-0.00018773067859001458;0.00010610460522002533;0.00030981929448898883;0.0007123988703824584;0.0011759516957681637
SparseH9;everywhere;H_SurfE_MQ0.057_SparseH9_error (m);-0.005543658044189215;0.002458582865074277;-0.00023116628667925929;0.0013164749748922218;-0.0018438444472849368;-0.00024375780631089575;-0.00009028792410390459;-0.000007844111541999143;0.000029046192139503546;0.00005718996180803512;0.00013098831259412684;0.00021391007176134745;0.0005205476772971452
SparseH9;everywhere;H_SurfE_R30.175_SparseH9_error (m);-0.0023509045131504536;0.002088089007884264;-0.00006026516685627333;0.0007377846150542471;-0.0008235456218244504;-0.00032153362990356983;-0.0002145979073247873;-0.00012499939766712478;-0.00009457616761210375;-0.000021151604778424383;0.000005650620369124166;0.00017841837761807303;0.0007546612760052095
