Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
HorizD_Validation;JulienBendingMLS_Fine_OrientationError (dega);1.012394666671753;64.25589752197266;14.16059564688668;8.482672631374536;4.690015268325806;6.906233024597169;8.93138484954834;10.822481632232666;12.844923973083496;14.85230016708374;17.170693206787107;20.175388526916507;25.166772460937505
HorizZ_Forecast;JulienBendingMLS_Fine_OrientationError (dega);0.6422126293182373;43.69042205810547;8.497659213232103;4.166913632869515;3.6886071443557737;4.944541311264039;5.956597852706908;6.942097139358521;7.901450872421265;8.949225330352782;10.146725368499755;11.628346824645996;14.07350006103516
Dips;LoopStructural_FDI_OrientationError (dega);1.8422069549560547;15.861909866333008;9.921944961547851;3.394563139012114;5.228825092315674;6.731064081192017;8.265685081481934;9.513753414154053;10.801690101623535;11.824833869934082;12.206554412841797;12.293522357940674;12.643858909606934
HorizA_Validation;LoopStructural_FDI_OrientationError (dega);0.2774810791015625;18.44961929321289;3.805851732557556;2.40489525791479;1.358118224143982;1.8054934978485109;2.2366037368774414;2.7004883766174315;3.2326951026916504;3.841514205932617;4.572912120819092;5.564620876312256;7.036518478393555
HorizB_Validation;LoopStructural_FDI_OrientationError (dega);0.3980257511138916;24.089008331298828;4.39791053174377;2.8343924674018184;1.6280528068542481;2.176763486862183;2.667028474807739;3.1725321769714356;3.693695306777954;4.3568426132202145;5.166332530975342;6.14733762741089;7.9701707839965845
HorizC_Validation;LoopStructural_FDI_OrientationError (dega);0.42296257615089417;29.196685791015625;6.5273885117838315;3.761394903303939;2.658150243759155;3.4845197677612307;4.187281370162964;4.865743017196655;5.713281631469727;6.552809381484986;7.6527951717376705;9.106800651550294;11.584575843811034
HorizD_Validation;LoopStructural_FDI_OrientationError (dega);0.7595953941345215;73.22712707519531;17.33294988034339;10.835961687163117;5.341078376770019;7.7612836360931405;10.12340431213379;12.33044481277466;14.907354354858398;17.96189785003662;21.379443740844724;25.974802970886234;33.63082695007324
HorizZ_Forecast;LoopStructural_FDI_OrientationError (dega);0.6172990202903748;50.85011672973633;10.117194275006845;5.140126645413694;4.395880651473999;5.8333264827728275;7.002731990814208;8.105436611175538;9.275742530822754;10.506202888488769;11.90203161239624;13.744965648651124;16.77934970855713
Dips;LoopStructural_PLI_OrientationError (dega);2.1275484561920166;24.89655303955078;11.485097780227662;4.718933086068755;6.21508264541626;7.55285382270813;9.632390975952148;10.138468742370605;11.071813583374023;12.148272037506104;13.84163761138916;15.376872062683105;16.169612884521484
HorizA_Validation;LoopStructural_PLI_OrientationError (dega);0.2328614741563797;18.093957901000977;3.712766875416407;2.270160137457312;1.3596738576889038;1.864557898044586;2.2769683837890624;2.71194019317627;3.2018234729766846;3.727116703987121;4.411059379577637;5.27686996459961;6.690255165100098
HorizB_Validation;LoopStructural_PLI_OrientationError (dega);0.21468372642993927;24.02125358581543;4.320623779938396;2.706675682083525;1.6381737709045412;2.176992130279541;2.7020822525024415;3.1718234777450562;3.714313507080078;4.287111711502075;5.006872749328613;6.044406843185425;7.718588638305679
HorizC_Validation;LoopStructural_PLI_OrientationError (dega);0.32298725843429565;27.03997039794922;6.004723631140588;3.4018585991887087;2.425062346458435;3.204297351837158;3.913766932487488;4.583916664123535;5.294043302536011;6.05646743774414;7.130892133712768;8.418664360046387;10.486284828186035
HorizD_Validation;LoopStructural_PLI_OrientationError (dega);0.8436471819877625;88.720703125;17.091130430545977;10.703579494563527;5.28083987236023;7.748969650268554;10.107076168060303;12.537172508239745;15.007344722747803;17.771961402893066;20.908024024963378;25.262869834899902;31.52343063354493
HorizZ_Forecast;LoopStructural_PLI_OrientationError (dega);0.7613057494163513;41.183509826660156;10.241656436287606;4.703342357175352;4.485413980484009;6.0972436428070065;7.337493515014648;8.535225296020508;9.728671073913574;11.021292400360107;12.420068550109864;14.10075969696045;16.548037910461428
Dips;SIGMA_s10_OrientationError (dega);3.589845657348633;13.911323547363281;7.8211771011352536;2.76177987797636;4.588637828826904;5.33067512512207;6.226129531860352;6.508169174194336;7.170883655548096;8.427979946136475;9.877180099487305;10.278454780578613;11.961760520935059
HorizA_Validation;SIGMA_s10_OrientationError (dega);0.3724775016307831;14.376263618469238;2.9431588902730903;1.7684814610227468;1.1847930431365967;1.519316041469574;1.8390336513519288;2.143319082260132;2.5043046474456787;2.9195764541625975;3.4641022205352776;4.160761690139771;5.2774359703063976
